"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 마포구 성산동","593-5","0593","0005","상암미르웰한올림","16.3600","202505","09","14,800","5","개인","개인","2018","모래내로3길 11","-","중개거래","서울 마포구"
"2","서울특별시 송파구 방이동","51","0051","0000","올림픽파크리움","19.3150","202505","09","14,340","7","개인","법인","2016","백제고분로 505","-","직거래","-"
"3","서울특별시 강남구 역삼동","708-20","0708","0020","금천빌딩","29.8100","202505","09","23,500","2","법인","개인","2005","테헤란로52길 15","-","중개거래","서울 강남구"
"4","서울특별시 동대문구 장안동","373-1","0373","0001","양우 내안애 애플","18.6429","202505","09","9,500","12","개인","개인","2014","장한로 99","-","직거래","-"
"5","서울특별시 동작구 노량진동","57-1","0057","0001","메가스터디타워","19.2770","202505","08","15,000","9","개인","개인","2015","노량진로 140","-","중개거래","서울 동작구"
"6","서울특별시 양천구 목동","605-17","0605","0017","엠제이타운","34.0850","202505","08","27,200","5","개인","개인","2018"," ","-","중개거래","서울 강서구"
"7","서울특별시 송파구 방이동","48-2","0048","0002","어반로프트 올림픽파크","18.3601","202505","08","18,800","14","개인","개인","2021","위례성대로2길 11","-","중개거래","서울 송파구"
"8","서울특별시 중랑구 중화동","208-4","0208","0004","중화동 범양프레체","22.2100","202505","08","10,300","7","개인","개인","2012","중랑천로14길 58","-","중개거래","서울 중랑구"
"9","서울특별시 강북구 수유동","92-8","0092","0008","어반빌리움 수유","17.0100","202505","07","16,500","17","개인","개인","2021","도봉로 277","-","직거래","-"
"10","서울특별시 송파구 문정동","624","0624","0000","송파 아이파크","29.8300","202505","07","29,800","14","개인","개인","2015","법원로 55","-","중개거래","서울 송파구"
"11","서울특별시 영등포구 당산동5가","9-2","0009","0002","당산 삼성쉐르빌","25.0700","202505","06","19,500","14","개인","개인","2013","당산로45길 1","-","중개거래","서울 영등포구"
"12","서울특별시 송파구 가락동","77-4","0077","0004","송파KCC웰츠타워","41.9600","202505","06","24,900","6","개인","개인","2011","송파대로28길 43","-","중개거래","서울 송파구"
"13","서울특별시 구로구 신도림동","387-3","0387","0003","신도림월드메르디앙오피스텔","62.4730","202505","05","41,500","10","법인","개인","2005","신도림로 65","-","중개거래","서울 구로구"
"14","서울특별시 마포구 창전동","402-17","0402","0017","세방테크빌","20.3000","202505","04","11,300","5","개인","개인","2002","독막로 140","-","중개거래","서울 마포구"
"15","서울특별시 은평구 역촌동","8-15","0008","0015","대상오피스텔","19.6800","202505","03","8,500","4","개인","개인","2004","연서로 110","-","중개거래","서울 은평구"
