"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-15 ~ 2025-04-14"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 은평구 응암동","98-1","0098","0001","그레이스 힐","63.2700","202504","14","39,000","4","개인","개인","2018","은평로 156","-","중개거래","서울 은평구"
"2","경기도 부천시 원미구 중동","1120","1120","0000","포 이 베","73.8800","202504","14","41,000","13","개인","법인","2022"," 18","-","직거래","-"
"3","경기도 부천시 원미구 중동","1162-2","1162","0002","제이클래스중동","46.0850","202504","14","27,300","4","개인","개인","2019"," 11","-","중개거래","경기 부천시 원미구"
"4","인천광역시 부평구 부평동","374-1","0374","0001","부평한라비발디","24.2760","202504","14","12,800","12","개인","개인","2021","대정로 7","-","중개거래","경기 부천시 원미구, 인천 부평구"
"5","전라남도 여수시 웅천동","1869-1","1869","0001","웅천 트리마제 벨마레","61.4720","202504","14","24,000","6","개인","개인","2022","웅천로 83","-","중개거래","전남 여수시"
"6","서울특별시 관악구 남현동","602-47","0602","0047","사당아트오피스텔","21.6400","202504","14","12,000","3","개인","개인","1998","승방6길 26","-","직거래","-"
"7","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","24.9100","202504","14","13,700","25","개인","개인","2013","통일로 1010","-","중개거래","서울 은평구"
"8","부산광역시 해운대구 좌동","1458-5","1458","0005","쥬노벨 오피스텔","37.6900","202504","14","8,000","12","개인","개인","2007","해운대로781번길 20","-","중개거래","부산 해운대구"
"9","서울특별시 영등포구 여의도동","61-3","0061","0003","(61-3)","45.9900","202504","14","31,800","9","개인","개인","1991","63로 40","-","중개거래","서울 영등포구"
"10","서울특별시 종로구 내수동","73","0073","0000","경희궁의 아침 4단지","28.2400","202504","14","24,500","15","개인","개인","2004","새문안로3길 23","-","중개거래","서울 종로구"
"11","부산광역시 해운대구 중동","1369-1","1369","0001","중동신화하니엘","41.8200","202504","14","15,000","14","개인","법인","2013","중동2로24번길 21","-","직거래","-"
"12","울산광역시 남구 무거동","299-10","0299","0010","남운프라자오피스텔","79.1200","202504","14","9,400","16","개인","개인","1992","북부순환도로 17","-","중개거래","부산 강서구"
"13","부산광역시 해운대구 우동","587-2","0587","0002","해운대 U-시티오피스텔","24.1500","202504","14","9,000","21","개인","개인","2018","중동1로17번길 15-11","-","중개거래","부산 해운대구"
"14","서울특별시 영등포구 문래동5가","2","0002","0000","대륭오피스텔","34.8100","202504","14","11,600","6","개인","개인","1992","선유로 27","-","중개거래","서울 영등포구"
"15","부산광역시 해운대구 우동","587-2","0587","0002","해운대 U-시티오피스텔","24.1500","202504","14","9,000","21","개인","개인","2018","중동1로17번길 15-11","20250417","중개거래","부산 해운대구"
"16","경기도 고양시 덕양구 원흥동","623","0623","0000","원흥역 푸르지오","59.9773","202504","14","40,800","4","개인","개인","2021","권율대로 671","-","중개거래","경기 고양시 덕양구"
"17","광주광역시 서구 치평동","1210-3","1210","0003","샌트럴시티오피스텔","31.6052","202504","14","8,500","3","개인","개인","2016","시청로 77","-","중개거래","광주 서구"
"18","경기도 안산시 단원구 원시동","774-2","0774","0002","태인드림시티 오피스텔","18.7460","202504","14","6,000","3","개인","개인","2019","연수원로 4","-","중개거래","경기 안산시 단원구"
"19","충청남도 천안시 서북구 두정동","1464","1464","0000","아크로텔천안두정","28.1700","202504","14","8,500","9","개인","개인","2015"," ","-","중개거래","충남 천안시 서북구"
"20","충청남도 천안시 서북구 불당동","1492","1492","0000","불당파크푸르지오1단지","84.9827","202504","14","29,000","15","개인","개인","2018","불당26로 144","-","중개거래","충남 천안시 서북구"
"21","부산광역시 해운대구 우동","587-2","0587","0002","해운대 U-시티오피스텔","24.1500","202504","14","9,000","21","개인","개인","2018","중동1로17번길 15-11","20250423","중개거래","부산 해운대구"
"22","부산광역시 해운대구 반여동","1685","1685","0000","센텀우성스마트시티뷰","84.9167","202504","14","33,000","28","개인","법인","2020","선수촌로 146-4","-","직거래","-"
"23","경기도 안산시 상록구 사동","1639-7","1639","0007","그랑시티자이","54.9283","202504","14","26,000","17","개인","개인","2020","해안로 776","-","중개거래","경기 화성시"
"24","경기도 안산시 상록구 사동","1639-7","1639","0007","그랑시티자이","54.9283","202504","14","22,000","18","개인","개인","2020","해안로 776","-","직거래","-"
"25","인천광역시 부평구 부평동","415-3","0415","0003","우주마루","75.6200","202504","14","19,600","10","개인","개인","2011","주부토로 54","-","중개거래","인천 부평구"
"26","인천광역시 서구 청라동","96-9","0096","0009","리베라움 더레이크 플러스","21.7044","202504","14","11,000","23","개인","개인","2022","청라대로 131","-","중개거래","인천 서구"
"27","경기도 용인시 기흥구 구갈동","657","0657","0000","기흥역 롯데캐슬 레이시티","23.8700","202504","14","15,350","19","개인","개인","2017"," ","-","중개거래","경기 용인시 기흥구"
"28","서울특별시 용산구 후암동","339-4","0339","0004","(339-4)","34.3800","202504","14","21,000","3","개인","개인","1990","두텁바위로58길 7","-","중개거래","서울 용산구"
"29","인천광역시 부평구 부평동","396-2","0396","0002","리마즈","58.7200","202504","14","18,500","8","개인","개인","2016","부흥북로72번길 24","-","중개거래","인천 부평구"
"30","서울특별시 용산구 서계동","219-17","0219","0017","서울역풍림아이원플러스","28.7900","202504","14","24,000","4","개인","개인","2004","만리재로 202","-","중개거래","서울 성동구"
"31","인천광역시 부평구 부평동","709-2","0709","0002","홈앤갤러리","70.7700","202504","14","19,200","4","개인","개인","2014","경인로 927","-","중개거래","인천 부평구"
"32","경기도 수원시 팔달구 인계동","1135-1","1135","0001","벨로시티","30.6200","202504","14","7,200","8","개인","개인","2003","권선로 739","-","중개거래","경기 수원시 팔달구"
"33","경기도 수원시 장안구 조원동","894","0894","0000","일호골든타워","34.0000","202504","14","11,000","10","개인","개인","2003","경수대로 940","-","중개거래","경기 수원시 장안구"
"34","서울특별시 중구 황학동","808","0808","0000","올리브1","25.0500","202504","14","14,500","4","개인","개인","2004","난계로 163","-","중개거래","서울 중구"
"35","인천광역시 서구 청라동","157-21","0157","0021","청라한신더휴커낼웨이","22.9929","202504","14","10,000","21","개인","개인","2019","청라커낼로260번길 27","-","중개거래","인천 서구"
"36","경상남도 김해시 외동","1254-2","1254","0002","네오프라자","25.6080","202504","14","2,200","7","개인","개인","2002","내외중앙로 33","-","중개거래","경남 김해시"
"37","서울특별시 강남구 역삼동","702-10","0702","0010","아남타워 현대오피스텔","40.2000","202504","14","28,300","18","개인","개인","2000","테헤란로 311","-","직거래","-"
"38","인천광역시 부평구 부평동","379-82","0379","0082","베네시안5차","59.1494","202504","14","17,700","11","개인","개인","2017","주부토로66번길 77","-","중개거래","인천 부평구"
"39","울산광역시 남구 신정동","1903","1903","0000","울산 신정동 양우내안애팰리스","44.6870","202504","14","9,900","2","개인","개인","2016"," ","-","중개거래","울산 남구"
"40","서울특별시 강남구 역삼동","824-25","0824","0025","대우디오빌플러스","38.9600","202504","14","30,500","16","법인","개인","2004","강남대로84길 33","-","중개거래","서울 강남구"
"41","서울특별시 금천구 독산동","1150","1150","0000","금천 롯데캐슬 골드파크 2차","27.0300","202504","14","18,500","8","개인","개인","2017"," ","-","중개거래","서울 금천구"
"42","인천광역시 남동구 논현동","637-2","0637","0002","코아루파크","47.7500","202504","14","14,000","10","개인","개인","2011","논현로46번길 22","-","중개거래","인천 남동구"
"43","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","34.3200","202504","14","20,000","6","개인","개인","2004","선릉로86길 31","-","중개거래","서울 강남구"
"44","경상남도 창원시 진해구 광화동","26","0026","0000","진해미진이지비아","28.2649","202504","14","5,700","15","개인","개인","2014","중원동로 33","-","중개거래","경남 창원시 진해구"
"45","서울특별시 용산구 한강로3가","16-85","0016","0085","지에스 한강에클라트","35.0600","202504","14","31,000","11","개인","개인","2006","이촌로 1","-","중개거래","서울 용산구"
"46","경기도 시흥시 정왕동","2697","2697","0000","시흥 MTV웨이브파크리움","25.5712","202504","14","10,500","4","개인","개인","2023","거북섬공원로 27","-","중개거래","경기 시흥시"
"47","서울특별시 금천구 가산동","139-3","0139","0003","램킨푸르지오시티","19.9600","202504","14","10,800","8","개인","개인","2013","벚꽃로56길 182","-","중개거래","서울 금천구"
"48","인천광역시 서구 청라동","97-2","0097","0002","청라 큐브시그니처 2차 오피스텔","34.2380","202504","14","22,200","8","개인","법인","2022","청라한내로72번길 13","-","직거래","-"
"49","경기도 수원시 영통구 이의동","1338","1338","0000","광교센트럴푸르지오시티","24.1100","202504","14","15,350","8","개인","개인","2015","도청로 10","-","중개거래","경기 수원시 영통구"
"50","서울특별시 강남구 자곡동","596","0596","0000","강남 더샵라르고","23.2769","202504","14","18,000","2","개인","개인","2014","자곡로 201","-","중개거래","서울 강남구"
"51","경기도 파주시 야당동","1050-1","1050","0001","이든시티","21.1651","202504","14","8,700","14","개인","개인","2021","경의로 1024","-","중개거래","경기 파주시"
"52","경기도 파주시 야당동","1050-1","1050","0001","이든시티","21.1651","202504","14","8,700","12","개인","개인","2021","경의로 1024","-","중개거래","경기 파주시"
