"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-15 ~ 2025-04-14"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","대구광역시 서구 비산동","226-3","0226","0003","호동","59.9400","23.8300","202504","14","8,100","2","개인","개인","1994","국채보상로78길 18","-","중개거래","대구 서구","25.05.01"
"2","경기도 안산시 상록구 사동","1197-6","1197","0006","더스카이뷰","53.9150","13.1270","202504","14","20,100","10","개인","개인","2017","석호공원로 65","-","중개거래","경기 안산시 상록구","-"
"3","경기도 안산시 상록구 사동","1479-2","1479","0002","다산파크빌","60.2000","26.2000","202504","14","6,000","-1","개인","개인","2001","영화5길 4-1","-","중개거래","경기 안산시 상록구","25.04.29"
"4","경기도 고양시 덕양구 토당동","99-1","0099","0001","세인A동-D동(99-1)","57.4200","54.2200","202504","14","45,000","3","개인","개인","1984","지도로125번길 9-9","-","중개거래","경기 고양시 덕양구","25.04.24"
"5","서울특별시 광진구 중곡동","104-16","0104","0016","용성아트빌","41.3400","23.2050","202504","14","20,000","2","개인","개인","2002","영화사로9가길 64","-","중개거래","서울 광진구","25.04.29"
"6","서울특별시 광진구 중곡동","127-27","0127","0027","선영빌라","39.8100","18.3240","202504","14","21,500","3","개인","개인","2002","천호대로123길 71","-","직거래","-","25.04.18"
"7","서울특별시 광진구 중곡동","233-69","0233","0069","한울프라이빗","44.9100","38.6895","202504","14","44,000","5","개인","법인","2021","동일로70길 31-3","-","중개거래","서울 중랑구","-"
"8","서울특별시 중랑구 중화동","200-7","0200","0007","인덕하이빌(200-7)","62.7800","34.2500","202504","14","36,000","3","개인","개인","2008","동일로124길 40","-","중개거래","서울 중랑구","-"
"9","충청남도 천안시 서북구 성정동","701-6","0701","0006","동원빌라","53.5100","33.3310","202504","14","3,000","4","개인","개인","1990","성정14길 3","-","직거래","-","25.04.14"
"10","서울특별시 은평구 역촌동","81-2","0081","0002","다베로(81-2)","57.6100","36.6600","202504","14","55,800","4","개인","법인","2022","연서로3길 25","-","직거래","-","-"
"11","대구광역시 서구 중리동","110-17","0110","0017","로즈빌(110-17)","76.4100","56.9625","202504","14","14,300","3","개인","개인","2002","서대구로15길 32-8","-","중개거래","대구 남구","-"
"12","경기도 광주시 목현동","239-53","0239","0053","239하임(B동)","63.9000","75.5937","202504","14","18,400","3","개인","개인","2017","이배재로 325-25","-","중개거래","경기 광주시","-"
"13","경기도 광주시 목현동","503-3","0503","0003","굿모닝하우스2차(101동)","73.0300","81.5310","202504","14","17,700","3","개인","개인","2011","모개미길34번길 28","-","중개거래","경기 광주시, 경기 성남시 중원구","-"
"14","대전광역시 대덕구 석봉동","316-22","0316","0022","두일빌라","42.8100","34.3400","202504","14","5,700","4","개인","개인","1994","석봉로30번길 40","-","중개거래","대전 대덕구","-"
"15","제주특별자치도 제주시 영평동","2525","2525","0000","제주효성해링턴코트1차2단지","147.0300","222.5862","202504","14","58,500","3","개인","개인","2020","기와5길 177-18","-","중개거래","제주 제주시","25.04.30"
"16","경기도 안산시 상록구 일동","551-11","0551","0011","로젠하임(551-11)","73.6400","36.9800","202504","14","20,100","2","개인","개인","2017","호동로 6-1","-","중개거래","경기 안산시 상록구","-"
"17","경기도 광명시 광명동","49-59","0049","0059","센스빌","38.8800","16.5500","202504","14","36,700","1","개인","개인","2002","오리로949번안길 6-13","-","중개거래","경기 광명시","-"
"18","전라남도 영광군 법성면 법성리","1214-2","1214","0002","더원스마트시티(101동102동)","84.0068","70.4542","202504","14","15,500","3","개인","개인","2019","법성포로1길 25-7","-","중개거래","전남 영광군","25.05.07"
"19","제주특별자치도 서귀포시 서호동","395-6","0395","0006","광진주택","81.8121","128.8281","202504","14","25,000","2","개인","법인","2017","서호호근로 168-1","-","중개거래","제주 서귀포시","-"
"20","제주특별자치도 서귀포시 법환동","212","0212","0000","디자인뷰","84.6899","75.0010","202504","14","45,000","4","개인","개인","2020","법환로 12","-","직거래","-","25.04.14"
