"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 송파구 풍납동","4**","단독","8m미만","167.25","112.00","202505","09","73,300","개인","개인","1988","바람드리26길","-","직거래","-"
"2","서울특별시 동대문구 제기동","1**","단독","8m미만","19.68","43.00","202505","06","55,000","개인","개인","1985","제기로13길","-","중개거래","서울 동대문구"
"3","서울특별시 강북구 수유동","4**","단독","8m미만","57.19","89.00","202505","03","35,500","개인","개인","1971","화계사1길","-","중개거래","서울 강북구"
"4","서울특별시 용산구 이태원동","9*","단독","8m미만","157.51","212.00","202505","02","350,000","법인","개인","1976","녹사평대로26나길","-","중개거래","서울 용산구"
"5","서울특별시 성북구 장위동","2**","다가구","8m미만","294.35","172.00","202505","02","85,800","개인","개인","1993","장위로13길","-","중개거래","서울 성북구"
"6","서울특별시 광진구 군자동","7*","다가구","8m미만","163.20","83.00","202505","02","81,800","개인","개인","1995","능동로27나길","-","중개거래","경기 화성시, 서울 광진구"
"7","서울특별시 양천구 신정동","1***","다가구","8m미만","199.53","152.10","202505","02","141,000","개인","개인","1993","중앙로29길","-","중개거래","서울 양천구"
"8","서울특별시 관악구 신림동","6**","단독","12m미만","179.18","165.00","202505","02","79,700","개인","개인","1974","난곡로26길","-","중개거래","서울 관악구"
"9","서울특별시 노원구 중계동","2*","단독","8m미만","44.00","54.00","202505","01","59,700","개인","개인","1989","중계로4길","-","중개거래","서울 노원구"
"10","서울특별시 강북구 수유동","4**","단독","8m미만","32.30","72.77","202505","01","14,400","개인","개인","1970","삼양로73가길","-","직거래","-"
"11","서울특별시 노원구 상계동","1**","단독","8m미만","46.64","93.00","202504","30","47,500","개인","개인","1971","한글비석로24아길","-","중개거래","서울 노원구"
"12","서울특별시 강북구 미아동","4*","다가구","8m미만","188.24","119.00","202504","30","91,200","개인","개인","1992","월계로","-","중개거래","서울 강북구"
"13","서울특별시 용산구 용산동2가","4*","단독","8m미만","170.90","103.90","202504","30","120,000","개인","개인","1988","신흥로7길","-","중개거래","서울 용산구"
"14","서울특별시 동작구 노량진동","2**","다가구","8m미만","109.62","76.00","202504","30","178,000","개인","개인","1991","장승배기로27길","-","중개거래","서울 동작구"
"15","서울특별시 종로구 숭인동","7*","다가구","8m미만","240.74","145.40","202504","30","110,000","개인","개인","1995","종로63라길","-","중개거래","서울 종로구"
"16","서울특별시 은평구 응암동","6**","단독","25m이상","262.40","137.44","202504","29","90,000","개인","개인","1985","가좌로","-","중개거래","경기 김포시"
"17","서울특별시 양천구 목동","1**","단독","8m미만","120.26","142.00","202504","29","90,090","개인","개인","1970","목동중앙로13나길","-","중개거래","서울 양천구"
"18","서울특별시 금천구 시흥동","8**","다가구","8m미만","209.45","97.10","202504","29","107,500","개인","개인","2006","독산로39길","-","중개거래","서울 금천구"
"19","서울특별시 동작구 노량진동","2**","단독","12m미만","206.46","145.00","202504","29","275,000","개인","개인","1989","노량진로10길","-","중개거래","서울 동작구"
"20","서울특별시 관악구 봉천동","1**","단독","8m미만","113.39","89.00","202504","28","35,000","개인","개인","1974","행운1라길","-","중개거래","서울 관악구"
"21","서울특별시 성북구 삼선동1가","2**","단독","8m미만","111.01","99.00","202504","28","49,800","개인","개인","1969","삼선교로10마길","-","중개거래","서울 성북구"
"22","서울특별시 종로구 명륜4가","2**","단독","8m미만","29.75","56.20","202504","28","21,000","개인","개인","1911","창경궁로26길","-","중개거래","서울 종로구"
"23","서울특별시 동대문구 회기동","5*","단독","8m미만","183.17","131.00","202504","28","135,000","개인","개인","","회기로23가길","20250430","중개거래","서울 동대문구"
"24","서울특별시 동작구 노량진동","2**","다가구","8m미만","135.36","99.00","202504","28","190,000","개인","개인","2006","노량진로6길","-","중개거래","서울 동작구"
"25","서울특별시 동대문구 청량리동","2**","단독","8m미만","55.81","93.00","202504","26","83,000","개인","개인","1961","제기로","-","중개거래","서울 동대문구"
"26","서울특별시 동작구 노량진동","2**","단독","8m미만","270.27","159.00","202504","26","250,000","개인","개인","1992","장승배기로27나길","-","중개거래","서울 동작구"
"27","서울특별시 영등포구 신길동","1**","다가구","8m미만","83.12","63.00","202504","26","63,000","개인","개인","1992","도신로54길","-","중개거래","서울 영등포구"
"28","서울특별시 중랑구 면목동","2*","다가구","8m미만","199.90","116.40","202504","26","68,500","개인","개인","1991","용마산로93길","-","중개거래","서울 중랑구"
"29","서울특별시 은평구 녹번동","1**","단독","12m미만","248.40","181.00","202504","26","105,000","개인","개인","1987","진흥로12길","-","중개거래","서울 은평구"
"30","서울특별시 동대문구 이문동","2**","다가구","8m미만","725.59","281.00","202504","26","197,000","개인","개인","1996","천장산로7길","-","중개거래","서울 강동구, 서울 동대문구"
"31","서울특별시 은평구 갈현동","2**","다가구","8m미만","298.92","152.00","202504","25","71,000","개인","개인","1994","갈현로27길","-","중개거래","서울 은평구"
"32","서울특별시 강북구 수유동","4**","단독","8m미만","42.53","95.00","202504","25","28,000","개인","개인","1985","인수봉로19나길","-","중개거래","서울 강북구"
"33","서울특별시 관악구 봉천동","*","단독","8m미만","160.86","106.00","202504","25","109,000","개인","개인","1997","청림3바길","-","중개거래","서울 관악구, 서울 동작구"
"34","서울특별시 관악구 봉천동","9**","단독","8m미만","152.49","110.70","202504","24","103,000","기타","개인","1984","국회단지2길","-","중개거래","서울 관악구"
"35","서울특별시 중구 신당동","2**","단독","8m미만","49.59","83.00","202504","24","38,500","개인","개인","1955","청구로6길","-","직거래","-"
"36","서울특별시 관악구 신림동","1***","다가구","8m미만","321.88","150.10","202504","24","133,753","공공기관","개인","1993","난곡로57길","-","직거래","-"
"37","서울특별시 구로구 구로동","7**","다가구","8m미만","119.67","73.00","202504","24","42,000","개인","개인","1996","구로동로13길","-","중개거래","서울 구로구"
"38","서울특별시 광진구 능동","2**","단독","8m미만","219.85","140.80","202504","24","100,500","개인","개인","1989","능동로34길","-","중개거래","서울 광진구"
"39","서울특별시 관악구 신림동","9*","다가구","12m미만","298.94","172.00","202504","23","174,912","공공기관","개인","1993","복은길","-","직거래","-"
"40","서울특별시 종로구 충신동","7*","단독","8m미만","372.72","154.70","202504","23","200,000","개인","개인","1974","율곡로","-","중개거래","서울 종로구"
"41","서울특별시 동작구 본동","4**","단독","8m미만","187.40","80.00","202504","23","210,628","기타","개인","1992","노량진로22길","-","직거래","-"
"42","서울특별시 동작구 본동","1**","단독","8m미만","38.28","102.00","202504","23","260,000","기타","개인","1961","노량진로22길","-","직거래","-"
"43","서울특별시 관악구 신림동","2**","단독","8m미만","251.10","145.00","202504","23","113,573","공공기관","개인","1996","신림로17길","-","직거래","-"
"44","서울특별시 관악구 신림동","1***","단독","8m미만","121.66","95.40","202504","22","50,000","개인","개인","1990","문성로25길","-","중개거래","서울 관악구"
"45","서울특별시 강북구 수유동","4**","단독","8m미만","84.91","81.00","202504","22","29,000","개인","개인","2000","인수봉로23길","-","중개거래","서울 중구"
"46","서울특별시 동대문구 전농동","2**","다가구","8m미만","141.94","86.00","202504","22","88,000","개인","개인","1993","전농로29길","-","중개거래","서울 동대문구"
"47","서울특별시 동작구 노량진동","2**","다가구","8m미만","193.03","132.00","202504","22","240,000","개인","개인","1992","장승배기로27길","-","중개거래","서울 동작구"
