"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-01 ~ 2025-03-01"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","전라남도 무안군 일로읍 월암리","2**","단독","25m미만","114.56","81.99","202503","01","8,000","개인","개인","1982","일로중앙로","-","직거래","-"
"2","서울특별시 용산구 이태원동","2*","다가구","8m미만","86.28","89.00","202503","01","300,000","개인","개인","1995","우사단로","-","중개거래","서울 용산구"
"3","제주특별자치도 제주시 건입동","6**","다가구","12m미만","394.75","209.40","202503","01","47,200","개인","개인","1995","사라봉5길","-","중개거래","제주 제주시"
"4","전북특별자치도 완주군 운주면 산북리","5**","단독","12m미만","298.98","379.00","202503","01","15,000","개인","개인","1999","대둔산로","-","중개거래","대전 중구"
"5","경상북도 김천시 신음동","7**","다가구","12m미만","571.41","317.00","202503","01","76,000","개인","개인","2015","신기1길","-","중개거래","경북 김천시"
"6","전라남도 순천시 승주읍 평중리","1*","단독","8m미만","62.40","298.00","202503","01","3,500","개인","개인","2015","중대1길","-","중개거래","전남 순천시"
"7","부산광역시 사하구 감천동","1*","단독","8m미만","27.88","31.00","202503","01","3,800","개인","개인","1985","옥천로67번길","-","중개거래","부산 사하구"
"8","서울특별시 송파구 잠실동","2**","단독","8m미만","149.34","99.90","202503","01","116,500","개인","개인","1989","석촌호수로12길","-","중개거래","서울 성북구"
"9","전북특별자치도 완주군 동상면 신월리","8**","단독","12m미만","143.30","447.00","202503","01","20,000","개인","개인","1996","동상주천로","-","직거래","-"
"10","경기도 여주시 세종대왕면 백석리","4**","단독","8m미만","118.54","501.00","202503","01","23,000","개인","개인","2012","백석1길","-","중개거래","경기 여주시"
